aaba	æː b æ
ddt	d d t
de	d e
deacon	d e æ ʕ ɔ n
dead	d e æ d
debbie	d e b b i e
debby	d e b b j
debeaumarch	d e b e æ u m æ r ʕ h
debeerspruit	d e b eː r s r u i t
debora	d e b ɔ r æ
deborah	d e b ɔ r æ h
decametre	d e ʕ æ m e t r e
decimetre	d e ʕ i m e t r e
dede	d e d e
dee	d eː
deedat	d eː d æ t
deefoow	d eː f ɔː w
deefow	d eː f ɔ w
deegaan	d eː ɡ æː n
deegaanada	d eː ɡ æː n æ d æ
deegaanka	d eː ɡ æː n k æ
deenka	d eː n k æ
deep	d eː
deepak	d eː æ k
deepika	d eː i k æ
deeqo	d eː q ɔ
deeqsi	d eː q s i
deero	d eː r ɔ
defoniyaan	d e f ɔ n i j æː n
degaan	d e ɡ æː n
degaanka	d e ɡ æː n k æ
deggan	d e ɡ ɡ æ n
degganayn	d e ɡ ɡ æ n æ j n
degle	d e ɡ l e
degmada	d e ɡ m æ d æ
degmo	d e ɡ m ɔ
degmooyinka	d e ɡ m ɔː j i n k æ
degoodi	d e ɡ ɔː d i
degree	d e ɡ r eː
deheeye	d e h eː j e
deimos	d e i m ɔ s
deise	d e i s e
dek	d e k
dekad	d e k æ d
dekada	d e k æ d æ
dekadaha	d e k æ d æ h æ
dekadda	d e k æ d d æ
dekatul	d e k æ t u l
deked	d e k e d
dekedaha	d e k e d æ h æ
dekedda	d e k e d d æ
dekkedda	d e k k e d d æ
dekker	d e k k e r
del	d e l
delafield	d e l æ f i e l d
delaware	d e l æ w æ r e
dele	d e l e
delek	d e l e k
delgado	d e l ɡ æ d ɔ
delhi	d e l h i
deli	d e l i
deliba	d e l i b æ
delphine	d e l h i n e
delta	d e l t æ
demada	d e m æ d æ
demba	d e m b æ
dembe	d e m b e
dembi	d e m b i
dembidhaaf	d e m b i ɖ æː f
demi	d e m i
demie	d e m i e
demirel	d e m i r e l
democratic	d e m ɔ ʕ r æ t i ʕ
democrats	d e m ɔ ʕ r æ t s
demokraten	d e m ɔ k r æ t e n
demonym	d e m ɔ n j m
den	d e n
denfer	d e n f e r
deng	d e n ɡ
denhaag	d e n h æː ɡ
deni	d e n i
denimarki	d e n i m æ r k i
denis	d e n i s
denisa	d e n i s æ
denisan	d e n i s æ n
denisova	d e n i s ɔ æ
denisovan	d e n i s ɔ æ n
denmark	d e n m æ r k
dennis	d e n n i s
denver	d e n e r
denzel	d e n e l
deola	d e ɔ l æ
deon	d e ɔ n
depp	d e
deqa	d e q æ
der	d e r
dera	d e r æ
derbi	d e r b i
derbiga	d e r b i ɡ æ
derdiyok	d e r d i j ɔ k
derek	d e r e k
derg	d e r ɡ
deri	d e r i
dermawan	d e r m æ w æ n
derri	d e r r i
derulo	d e r u l ɔ
des	d e s
desalegn	d e s æ l e ɡ n
deschryver	d e s ʕ h r j e r
desert	d e s e r t
desir	d e s i r
desmond	d e s m ɔ n d
destin	d e s t i n
destiny	d e s t i n j
destuur	d e s t uː r
detni	d e t n i
detroit	d e t r ɔ i t
deutsche	d e u t s ʕ h e
development	d e e l ɔ m e n t
devgan	d e ɡ æ n
dewulf	d e w u l f
deyl	d e j l
deyn	d e j n
deyniile	d e j n iː l e
deyr	d e j r
deyrta	d e j r t æ
dhaab	ɖ æː b
dhaadaar	ɖ æː d æː r
dhaanto	ɖ æː n t ɔ
dhaanyo	ɖ æː n j ɔ
dhaawac	ɖ æː w æ ʕ
dhaawacay	ɖ æː w æ ʕ æ j
dhaaytubaako	ɖ æː j t u b æː k ɔ
dhaban	ɖ æ b æ n
dhabaneey	ɖ æ b æ n eː j
dhabar	ɖ æ b æ r
dhabbad	ɖ æ b b æ d
dhabcaal	ɖ æ b ʕ æː l
dhabi	ɖ æ b i
dhaboolaq	ɖ æ b ɔː l æ q
dhabta	ɖ æ b t æ
dhabtaa	ɖ æ b t æː
dhac	ɖ æ ʕ
dhaca	ɖ æ ʕ æ
dhacay	ɖ æ ʕ æ j
dhacdaaa	ɖ æ ʕ d æː æ
dhacdo	ɖ æ ʕ d ɔ
dhacdooyinka	ɖ æ ʕ d ɔː j i n k æ
dhacyada	ɖ æ ʕ j æ d æ
dhadhan	ɖ æ ɖ æ n
dhado	ɖ æ d ɔ
dhafka	ɖ æ f k æ
dhafoof	ɖ æ f ɔː f
dhafra	ɖ æ f r æ
dhaga	ɖ æ ɡ æ
dhagacas	ɖ æ ɡ æ ʕ æ s
dhagah	ɖ æ ɡ æ h
dhagax	ɖ æ ɡ æ ħ
dhagaxa	ɖ æ ɡ æ ħ æ
dhagaxay	ɖ æ ɡ æ ħ æ j
dhagaxbuur	ɖ æ ɡ æ ħ b uː r
dhagaxley	ɖ æ ɡ æ ħ l e j
dhagaxtuur	ɖ æ ɡ æ ħ t uː r
dhageyne	ɖ æ ɡ e j n e
dhagool	ɖ æ ɡ ɔː l
dhahar	ɖ æ h æ r
dhakar	ɖ æ k æ r
dhakhaatiirta	ɖ æ χ æː t iː r t æ
dhakhtar	ɖ æ χ t æ r
dhakhtarka	ɖ æ χ t æ r k æ
dhal	ɖ æ l
dhalan	ɖ æ l æ n
dhalanteed	ɖ æ l æ n t eː d
dhalanteedayn	ɖ æ l æ n t eː d æ j n
dhalanteedyayn	ɖ æ l æ n t eː d j æ j n
dhalashada	ɖ æ l æ ʃ æ d æ
dhalasho	ɖ æ l æ ʃ ɔ
dhalfad	ɖ æ l f æ d
dhalinta	ɖ æ l i n t æ
dhalinyarada	ɖ æ l i n j æ r æ d æ
dhalinyarjeclid	ɖ æ l i n j æ r d͡ʒ e ʕ l i d
dhalinyaro	ɖ æ l i n j æ r ɔ
dhallinyarada	ɖ æ l l i n j æ r æ d æ
dhalmo	ɖ æ l m ɔ
dhalo	ɖ æ l ɔ
dhalwo	ɖ æ l w ɔ
dhamaadka	ɖ æ m æː d k æ
dhamaag	ɖ æ m æː ɡ
dhambalin	ɖ æ m b æ l i n
dhammey	ɖ æ m m e j
dhanaan	ɖ æ n æː n
dhanaane	ɖ æ n æː n e
dhanaano	ɖ æ n æː n ɔ
dhangaloow	ɖ æ n ɡ æ l ɔː w
dhanka	ɖ æ n k æ
dhaqaajin	ɖ æ q æː d͡ʒ i n
dhaqaalaha	ɖ æ q æː l æ h æ
dhaqaale	ɖ æ q æː l e
dhaqaallaha	ɖ æ q æː l l æ h æ
dhaqalaha	ɖ æ q æ l æ h æ
dhaqameed	ɖ æ q æ m eː d
dhaqameedka	ɖ æ q æ m eː d k æ
dhaqan	ɖ æ q æ n
dhaqangelinta	ɖ æ q æ n ɡ e l i n t æ
dhaqanguurdoonka	ɖ æ q æ n ɡ uː r d ɔː n k æ
dhaqanguurka	ɖ æ q æ n ɡ uː r k æ
dhaqanhabaab	ɖ æ q æ n h æ b æː b
dhaqanka	ɖ æ q æ n k æ
dhaqax	ɖ æ q æ ħ
dhaqdhaqaaqa	ɖ æ q ɖ æ q æː q æ
dhar	ɖ æ r
dharaar	ɖ æ r æː r
dharbash	ɖ æ r b æ ʃ
dharjaalle	ɖ æ r d͡ʒ æː l l e
dharka	ɖ æ r k æ
dharkayn	ɖ æ r k æ j n
dharkeelay	ɖ æ r k eː l æ j
dharkeenleey	ɖ æ r k eː n l eː j
dharkeenley	ɖ æ r k eː n l e j
dharkenley	ɖ æ r k e n l e j
dharkeynleey	ɖ æ r k e j n l eː j
dhasheeg	ɖ æ ʃ eː ɡ
dhawaaq	ɖ æ w æː q
dhawaaqida	ɖ æ w æː q i d æ
dhaweyd	ɖ æ w e j d
dhax	ɖ æ ħ
dhaxaysa	ɖ æ ħ æ j s æ
dhaxbartanka	ɖ æ ħ b æ r t æ n k æ
dhaxeeya	ɖ æ ħ eː j æ
dhaymo	ɖ æ j m ɔ
dhaymoole	ɖ æ j m ɔː l e
dhaytubaako	ɖ æ j t u b æː k ɔ
dheddig	ɖ e d d i ɡ
dheddigsarrayn	ɖ e d d i ɡ s æ r r æ j n
dheddin	ɖ e d d i n
dhedig	ɖ e d i ɡ
dheecaan	ɖ eː ʕ æː n
dheefshiidka	ɖ eː f ʃ iː d k æ
dheel	ɖ eː l
dheelitirnaan	ɖ eː l i t i r n æː n
dheelmatiin	ɖ eː l m æ t iː n
dheeman	ɖ eː m æ n
dheen	ɖ eː n
dheer	ɖ eː r
dheere	ɖ eː r e
dheereeyey	ɖ eː r eː j e j
dheey	ɖ eː j
dheg	ɖ e ɡ
dhega	ɖ e ɡ æ
dhegacase	ɖ e ɡ æ ʕ æ s e
dhego	ɖ e ɡ ɔ
dhegoculeys	ɖ e ɡ ɔ ʕ u l e j s
dhegoolaha	ɖ e ɡ ɔː l æ h æ
dherer	ɖ e r e r
dhererka	ɖ e r e r k æ
dheri	ɖ e r i
dheryalay	ɖ e r j æ l æ j
dheryodhoobe	ɖ e r j ɔ ɖ ɔː b e
dhesibel	ɖ e s i b e l
dhetroyt	ɖ e t r ɔ j t
dhexdhexaadnimada	ɖ e ħ ɖ e ħ æː d n i m æ d æ
dhexe	ɖ e ħ e
dhexo	ɖ e ħ ɔ
dhexroor	ɖ e ħ r ɔː r
dheymos	ɖ e j m ɔ s
dhibaaji	ɖ i b æː d͡ʒ i
dhibaatada	ɖ i b æː t æ d æ
dhibaato	ɖ i b æː t ɔ
dhibaatooyinka	ɖ i b æː t ɔː j i n k æ
dhibanayaasha	ɖ i b æ n æ j æː ʃ æ
dhibane	ɖ i b æ n e
dhibato	ɖ i b æ t ɔ
dhibatoka	ɖ i b æ t ɔ k æ
dhibbanaha	ɖ i b b æ n æ h æ
dhicis	ɖ i ʕ i s
dhicisoobay	ɖ i ʕ i s ɔː b æ j
dhidar	ɖ i d æ r
dhidig	ɖ i d i ɡ
dhig	ɖ i ɡ
dhigaha	ɖ i ɡ æ h æ
dhigane	ɖ i ɡ æ n e
dhiig	ɖ iː ɡ
dhiiga	ɖ iː ɡ æ
dhiigga	ɖ iː ɡ ɡ æ
dhiiq	ɖ iː q
dhiirigelin	ɖ iː r i ɡ e l i n
dhiirrigelinta	ɖ iː r r i ɡ e l i n t æ
dhillaysigu	ɖ i l l æ j s i ɡ u
dhilleysiga	ɖ i l l e j s i ɡ æ
dhillo	ɖ i l l ɔ
dhilmaanyo	ɖ i l m æː n j ɔ
dhimashada	ɖ i m æ ʃ æ d æ
dhimasho	ɖ i m æ ʃ ɔ
dhimbil	ɖ i m b i l
dhir	ɖ i r
dhirbaxo	ɖ i r b æ ħ ɔ
dhircun	ɖ i r ʕ u n
dhircune	ɖ i r ʕ u n e
dhirta	ɖ i r t æ
dhis	ɖ i s
dhisayo	ɖ i s æ j ɔ
dhishiike	ɖ i ʃ iː k e
dhisid	ɖ i s i d
dhismaha	ɖ i s m æ h æ
dhisme	ɖ i s m e
dhismo	ɖ i s m ɔ
dhismoka	ɖ i s m ɔ k æ
dhlamini	ɖ l æ m i n i
dhlomo	ɖ l ɔ m ɔ
dhobleey	ɖ ɔ b l eː j
dhofinka	ɖ ɔ f i n k æ
dhogor	ɖ ɔ ɡ ɔ r
dhoobada	ɖ ɔː b æ d æ
dhoobley	ɖ ɔː b l e j
dhoobo	ɖ ɔː b ɔ
dhoofinka	ɖ ɔː f i n k æ
dhoofinta	ɖ ɔː f i n t æ
dhooftinle	ɖ ɔː f t i n l e
dhoolatus	ɖ ɔː l æ t u s
dhoore	ɖ ɔː r e
dhow	ɖ ɔ w
dhu	ɖ u
dhudhun	ɖ u ɖ u n
dhufasho	ɖ u f æ ʃ ɔ
dhufatay	ɖ u f æ t æ j
dhufayl	ɖ u f æ j l
dhufeeyska	ɖ u f eː j s k æ
dhufeysyada	ɖ u f e j s j æ d æ
dhuftay	ɖ u f t æ j
dhul	ɖ u l
dhulbadhe	ɖ u l b æ ɖ e
dhulbahante	ɖ u l b æ h æ n t e
dhulbaraha	ɖ u l b æ r æ h æ
dhulbare	ɖ u l b æ r e
dhulbareed	ɖ u l b æ r eː d
dhulbaxsinta	ɖ u l b æ ħ s i n t æ
dhuldaaqsiin	ɖ u l d æː q s iː n
dhuleed	ɖ u l eː d
dhuleedka	ɖ u l eː d k æ
dhulgariir	ɖ u l ɡ æ r iː r
dhulgariirkii	ɖ u l ɡ æ r iː r k iː
dhulgoosi	ɖ u l ɡ ɔː s i
dhulhante	ɖ u l h æ n t e
dhulhoos	ɖ u l h ɔː s
dhulka	ɖ u l k æ
dhulkayga	ɖ u l k æ j ɡ æ
dhulkii	ɖ u l k iː
dhululubo	ɖ u l u l u b ɔ
dhulweynaha	ɖ u l w e j n æ h æ
dhunqoray	ɖ u n q ɔ r æ j
dhur	ɖ u r
dhurde	ɖ u r d e
dhurwaa	ɖ u r w æː
dhuule	ɖ uː l e
dhuumaha	ɖ uː m æ h æ
dhuumoodle	ɖ uː m ɔː d l e
dhuun	ɖ uː n
dhuur	ɖ uː r
dhuure	ɖ uː r e
dhuus	ɖ uː s
dhuusamareeb	ɖ uː s æ m æ r eː b
dhuusamarreeb	ɖ uː s æ m æ r r eː b
dhuuso	ɖ uː s ɔ
dhuusomareeb	ɖ uː s ɔ m æ r eː b
dhuux	ɖ uː ħ
dhuxul	ɖ u ħ u l
di	d i
dia	d i æ
diagileva	d i æ ɡ i l e æ
diane	d i æ n e
diatta	d i æ t t æ
diawling	d i æ w l i n ɡ
dib	d i b
dibatoka	d i b æ t ɔ k æ
dibi	d i b i
dibir	d i b i r
diblomaasiga	d i b l ɔ m æː s i ɡ æ
dibloomaasiyiinta	d i b l ɔː m æː s i j iː n t æ
dibu	d i b u
dibusocod	d i b u s ɔ ʕ ɔ d
dibutaag	d i b u t æː ɡ
dibwangui	d i b w æ n ɡ u i
dickens	d i ʕ k e n s
dicker	d i ʕ k e r
dickmann	d i ʕ k m æ n n
didi	d i d i
didonato	d i d ɔ n æ t ɔ
die	d i e
diedericks	d i e d e r i ʕ k s
diego	d i e ɡ ɔ
diesel	d i e s e l
dieuzaide	d i e u æ i d e
difaaca	d i f æː ʕ æ
different	d i f f e r e n t
diffusion	d i f f u s i ɔ n
digaag	d i ɡ æː ɡ
digaagad	d i ɡ æː ɡ æ d
digfeer	d i ɡ f eː r
digiiran	d i ɡ iː r æ n
digil	d i ɡ i l
digir	d i ɡ i r
digirta	d i ɡ i r t æ
digo	d i ɡ ɔ
digri	d i ɡ r i
digtooni	d i ɡ t ɔː n i
dihin	d i h i n
dii	d iː
diidka	d iː d k æ
diif	d iː f
diig	d iː ɡ
diiko	d iː k ɔ
diikow	d iː k ɔ w
diin	d iː n
diinaar	d iː n æː r
diinasor	d iː n æ s ɔ r
diinbadeed	d iː n b æ d eː d
diinceelaad	d iː n ʕ eː l æː d
diindiin	d iː n d iː n
diini	d iː n i
diinlaawanimo	d iː n l æː w æ n i m ɔ
diinosoor	d iː n ɔ s ɔː r
diinsi	d iː n s i
diinsoor	d iː n s ɔː r
diinta	d iː n t æ
diiriye	d iː r i j e
diirkeed	d iː r k eː d
diirshe	d iː r ʃ e
diiwaangelinta	d iː w æː n ɡ e l i n t æ
diiwaanka	d iː w æː n k æ
dijitaal	d i d͡ʒ i t æː l
dikko	d i k k ɔ
dikolongo	d i k ɔ l ɔ n ɡ ɔ
dila	d i l æ
dileh	d i l e h
dileita	d i l e i t æ
dilidda	d i l i d d æ
dilka	d i l k æ
dilkii	d i l k iː
dill	d i l l
dilla	d i l l æ
dilmurat	d i l m u r æ t
dilolo	d i l ɔ l ɔ
dilone	d i l ɔ n e
dilraba	d i l r æ b æ
dima	d i m æ
dimishiq	d i m i ʃ i q
dimitar	d i m i t æ r
dimka	d i m k æ
dimoqraadi	d i m ɔ q r æː d i
dimoqraadiga	d i m ɔ q r æː d i ɡ æ
dimuqaraadiga	d i m u q æ r æː d i ɡ æ
dimuqraadi	d i m u q r æː d i
dimuqraadiga	d i m u q r æː d i ɡ æ
din	d i n
dinah	d i n æ h
dinder	d i n d e r
dinka	d i n k æ
dinowda	d i n ɔ w d æ
dinsoor	d i n s ɔː r
dinsor	d i n s ɔ r
dion	d i ɔ n
dione	d i ɔ n e
diop	d i ɔ
dior	d i ɔ r
dioulol	d i ɔ u l ɔ l
dioxide	d i ɔ ħ i d e
diplomaticka	d i l ɔ m æ t i ʕ k æ
dir	d i r
dira	d i r æ
diraac	d i r æː ʕ
diraadada	d i r æː d æ d æ
diraarada	d i r æː r æ d æ
dirac	d i r æ ʕ
direct	d i r e ʕ t
direction	d i r e ʕ t i ɔ n
director	d i r e ʕ t ɔ r
directory	d i r e ʕ t ɔ r j
direed	d i r eː d
diric	d i r i ʕ
diridhabe	d i r i ɖ æ b e
dirisame	d i r i s æ m e
diriye	d i r i j e
dirk	d i r k
dirka	d i r k æ
dirnimo	d i r n i m ɔ
dirtiris	d i r t i r i s
disc	d i s ʕ
discography	d i s ʕ ɔ ɡ r æ h j
disease	d i s e æ s e
diseembar	d i s eː m b æ r
disha	d i ʃ æ
dishiishe	d i ʃ iː ʃ e
disney	d i s n e j
dissoni	d i s s ɔ n i
district	d i s t r i ʕ t
ditshego	d i t ʃ e ɡ ɔ
diwaanka	d i w æː n k æ
dixie	d i ħ i e
dixit	d i ħ i t
dixon	d i ħ ɔ n
diya	d i j æ
diyaano	d i j æː n ɔ
diyaarad	d i j æː r æ d
diyaarada	d i j æː r æ d æ
diyaaradah	d i j æː r æ d æ h
diyaaradaha	d i j æː r æ d æ h æ
diyaaradi	d i j æː r æ d i
diyaaradka	d i j æː r æ d k æ
diyaaraha	d i j æː r æ h æ
dj	d d͡ʒ
djabuti	d d͡ʒ æ b u t i
djamena	d d͡ʒ æ m e n æ
djerid	d d͡ʒ e r i d
djibloho	d d͡ʒ i b l ɔ h ɔ
djibouti	d d͡ʒ i b ɔ u t i
djibuti	d d͡ʒ i b u t i
djoudj	d d͡ʒ ɔ u d d͡ʒ
dkov	d k ɔ
dladla	d l æ d l æ
dlathu	d l æ t h u
dle	d l e
dm	d m
dmitry	d m i t r j
dna	d n æ
do	d ɔ
docay	d ɔ ʕ æ j
docey	d ɔ ʕ e j
docks	d ɔ ʕ k s
docmo	d ɔ ʕ m ɔ
docol	d ɔ ʕ ɔ l
docoleey	d ɔ ʕ ɔ l eː j
dodo	d ɔ d ɔ
dodoma	d ɔ d ɔ m æ
does	d ɔ e s
dogg	d ɔ ɡ ɡ
dogrol	d ɔ ɡ r ɔ l
doha	d ɔ h æ
doja	d ɔ d͡ʒ æ
doke	d ɔ k e
dokubo	d ɔ k u b ɔ
doll	d ɔ l l
dollar	d ɔ l l æ r
dollarama	d ɔ l l æ r æ m æ
dollarka	d ɔ l l æ r k æ
dolo	d ɔ l ɔ
dolores	d ɔ l ɔ r e s
domco	d ɔ m ʕ ɔ
domestic	d ɔ m e s t i ʕ
domingo	d ɔ m i n ɡ ɔ
dominic	d ɔ m i n i ʕ
dominican	d ɔ m i n i ʕ æ n
dominika	d ɔ m i n i k æ
don	d ɔ n
donae	d ɔ n æ e
donald	d ɔ n æ l d
donaldson	d ɔ n æ l d s ɔ n
donatus	d ɔ n æ t u s
donenfeld	d ɔ n e n f e l d
donetsk	d ɔ n e t s k
dong	d ɔ n ɡ
dongola	d ɔ n ɡ ɔ l æ
donia	d ɔ n i æ
donovan	d ɔ n ɔ æ n
doob	d ɔː b
doobnimada	d ɔː b n i m æ d æ
doofaar	d ɔː f æː r
doogsan	d ɔː ɡ s æ n
dooli	d ɔː l i
doollo	d ɔː l l ɔ
doolow	d ɔː l ɔ w
doon	d ɔː n
doondheere	d ɔː n ɖ eː r e
dooni	d ɔː n i
doonis	d ɔː n i s
doonta	d ɔː n t æ
doontaa	d ɔː n t æː
door	d ɔː r
dooradsha	d ɔː r æ d ʃ æ
doorashada	d ɔː r æ ʃ æ d æ
doorashadii	d ɔː r æ ʃ æ d iː
doorasho	d ɔː r æ ʃ ɔ
doorashooyinka	d ɔː r æ ʃ ɔː j i n k æ
dooraweyne	d ɔː r æ w e j n e
dooro	d ɔː r ɔ
dooroshooyinka	d ɔː r ɔ ʃ ɔː j i n k æ
doors	d ɔː r s
doorsadahinka	d ɔː r s æ d æ h i n k æ
doox	d ɔː ħ
dooxa	d ɔː ħ æ
dooxada	d ɔː ħ æ d æ
dooy	d ɔː j
doqonnimo	d ɔ q ɔ n n i m ɔ
dorayi	d ɔ r æ j i
dorcas	d ɔ r ʕ æ s
doreen	d ɔ r eː n
doric	d ɔ r i ʕ
dorothy	d ɔ r ɔ t h j
dortmund	d ɔ r t m u n d
dossi	d ɔ s s i
dostoevsky	d ɔ s t ɔ e s k j
double	d ɔ u b l e
douglas	d ɔ u ɡ l æ s
douwes	d ɔ u w e s
dove	d ɔ e
dowgaab	d ɔ w ɡ æː b
dowlad	d ɔ w l æ d
dowlada	d ɔ w l æ d æ
dowladaha	d ɔ w l æ d æ h æ
dowladda	d ɔ w l æ d d æ
dowladdi	d ɔ w l æ d d i
dowladdii	d ɔ w l æ d d iː
dowladii	d ɔ w l æ d iː
downey	d ɔ w n e j
downtown	d ɔ w n t ɔ w n
dowsi	d ɔ w s i
doyle	d ɔ j l e
doyoyo	d ɔ j ɔ j ɔ
dozer	d ɔ e r
dozie	d ɔ i e
dp	d
dpk	d k
dr	d r
draft	d r æ f t
dragon	d r æ ɡ ɔ n
drake	d r æ k e
drama	d r æ m æ
dramani	d r æ m æ n i
drc	d r ʕ
dre	d r e
dream	d r e æ m
drenthe	d r e n t h e
dreyfus	d r e j f u s
dricky	d r i ʕ k j
drip	d r i
driver	d r i e r
drobny	d r ɔ b n j
drogbaa	d r ɔ ɡ b æː
dropout	d r ɔ ɔ u t
drowning	d r ɔ w n i n ɡ
druk	d r u k
drummond	d r u m m ɔ n d
druudismi	d r uː d i s m i
druze	d r u e
ds	d s
dsp	d s
dt	d t
dter	d t e r
du	d u
dua	d u æ
duale	d u æ l e
duangjan	d u æ n ɡ d͡ʒ æ n
duarte	d u æ r t e
dubai	d u b æ i
dubay	d u b æ j
dube	d u b e
dublad	d u b l æ d
dublin	d u b l i n
dubnium	d u b n i u m
dubniyaam	d u b n i j æː m
dubuffet	d u b u f f e t
ducaale	d u ʕ æː l e
ducati	d u ʕ æ t i
duchess	d u ʕ h e s s
duckie	d u ʕ k i e
ducooyinka	d u ʕ ɔː j i n k æ
dudley	d u d l e j
dudub	d u d u b
duduble	d u d u b l e
duff	d u f f
dugaagow	d u ɡ æː ɡ ɔ w
dugisga	d u ɡ i s ɡ æ
dugle	d u ɡ l e
dugsi	d u ɡ s i
dugsiga	d u ɡ s i ɡ æ
dugsiyada	d u ɡ s i j æ d æ
duhur	d u h u r
duiker	d u i k e r
dukaamada	d u k æː m æ d æ
dukaanka	d u k æː n k æ
duki	d u k i
dukkanka	d u k k æ n k æ
dul	d u l
dulaydala	d u l æ j d æ l æ
dulbaxsinta	d u l b æ ħ s i n t æ
dulcie	d u l ʕ i e
dulin	d u l i n
dulka	d u l k æ
dulkifli	d u l k i f l i
dullayn	d u l l æ j n
dulmanayd	d u l m æ n æ j d
duluti	d u l u t i
duma	d u m æ
dumaashi	d u m æː ʃ i
dumai	d u m æ i
dumar	d u m æ r
dumarka	d u m æ r k æ
dumarsarrayn	d u m æ r s æ r r æ j n
dumile	d u m i l e
dummaye	d u m m æ j e
dumnad	d u m n æ d
dumor	d u m ɔ r
dun	d u n
dunam	d u n æ m
dundia	d u n d i æ
dundida	d u n d i d æ
dungonab	d u n ɡ ɔ n æ b
duni	d u n i
dunida	d u n i d æ
dunidia	d u n i d i æ
dunnida	d u n n i d æ
dunqasan	d u n q æ s æ n
duq	d u q
duqa	d u q æ
duqaaqa	d u q æː q æ
duqeynta	d u q e j n t æ
duqsi	d u q s i
dur	d u r
durand	d u r æ n d
durbaan	d u r b æː n
durban	d u r b æ n
durdana	d u r d æ n æ
durdur	d u r d u r
durdurrada	d u r d u r r æ d æ
durmaan	d u r m æː n
durraansi	d u r r æː n s i
durraansiga	d u r r æː n s i ɡ æ
duruf	d u r u f
dusaa	d u s æː
dusmareeb	d u s m æ r eː b
duterte	d u t e r t e
dutta	d u t t æ
duubcad	d uː b ʕ æ d
duubcaddii	d uː b ʕ æ d d iː
duubo	d uː b ɔ
duufaan	d uː f æː n
duufaanta	d uː f æː n t æ
duufaantii	d uː f æː n t iː
duug	d uː ɡ
duukaan	d uː k æː n
duulaan	d uː l æː n
duulaanka	d uː l æː n k æ
duulimaadka	d uː l i m æː d k æ
duulimaadkii	d uː l i m æː d k iː
duulin	d uː l i n
duulista	d uː l i s t æ
duuliyanimo	d uː l i j æ n i m ɔ
duullaankii	d uː l l æː n k iː
duumaan	d uː m æː n
duumo	d uː m ɔ
duur	d uː r
duurey	d uː r e j
duurgal	d uː r ɡ æ l
duurjoog	d uː r d͡ʒ ɔː ɡ
duurjoogta	d uː r d͡ʒ ɔː ɡ t æ
duurxul	d uː r ħ u l
duus	d uː s
duvalle	d u æ l l e
duvenstedt	d u e n s t e d t
dux	d u ħ
dvd	d d
dvo	d ɔ
dwyo	d w j ɔ
dyer	d j e r
dyers	d j e r s
dyke	d j k e
dylan	d j l æ n
dynamic	d j n æ m i ʕ
dynasty	d j n æ s t j
dyson	d j s ɔ n
dzukogi	d u k ɔ ɡ i
dzungar	d u n ɡ æ r
ea	e æ
eagle	e æ ɡ l e
eahin	e æ h i n
eanl	e æ n l
earth	e æ r t h
east	e æ s t
eastern	e æ s t e r n
eastliegh	e æ s t l i e ɡ h
eastman	e æ s t m æ n
eb	e b
ebanks	e b æ n k s
ebay	e b æ j
ebbe	e b b e
ebenezer	e b e n e e r
eber	e b e r
ebereeyadii	e b e r eː j æ d iː
ebisu	e b i s u
ebola	e b ɔ l æ
ebri	e b r i
ecevit	e ʕ e i t
echeruo	e ʕ h e r u ɔ
echezonachukwu	e ʕ h e ɔ n æ ʕ h u k w u
eck	e ʕ k
eclare	e ʕ l æ r e
economic	e ʕ ɔ n ɔ m i ʕ
ecosoc	e ʕ ɔ s ɔ ʕ
ed	e d
edcia	e d ʕ i æ
eddie	e d d i e
ede	e d e
edea	e d e æ
edebdarro	e d e b d æ r r ɔ
edem	e d e m
eden	e d e n
edgar	e d ɡ æ r
edgardo	e d ɡ æ r d ɔ
edirne	e d i r n e
edison	e d i s ɔ n
edit	e d i t
edita	e d i t æ
edlkov	e d l k ɔ
edmond	e d m ɔ n d
edmonton	e d m ɔ n t ɔ n
edmund	e d m u n d
edn	e d n
edncipe	e d n ʕ i e
edo	e d ɔ
edobor	e d ɔ b ɔ r
edoro	e d ɔ r ɔ
edrez	e d r e
edrito	e d r i t ɔ
eds	e d s
edso	e d s ɔ
eduard	e d u æ r d
eduardo	e d u æ r d ɔ
educa	e d u ʕ æ
education	e d u ʕ æ t i ɔ n
educational	e d u ʕ æ t i ɔ n æ l
edur	e d u r
edward	e d w æ r d
edwards	e d w æ r d s
edwin	e d w i n
edza	e d æ
ee	eː
eebe	eː b e
eeboow	eː b ɔː w
eeden	eː d e n
eedo	eː d ɔ
eego	eː ɡ ɔ
eelaah	eː l æː h
eelo	eː l ɔ
eeris	eː r i s
eex	eː ħ
eexashada	eː ħ æ ʃ æ d æ
eexasho	eː ħ æ ʃ ɔ
eexaysiga	eː ħ æ j s i ɡ æ
eey	eː j
efa	e f æ
efba	e f b æ
efe	e f e
effiong	e f f i ɔ n ɡ
effron	e f f r ɔ n
efn	e f n
efra	e f r æ
efse	e f s e
efssa	e f s s æ
eft	e f t
efta	e f t æ
egal	e ɡ æ l
ego	e ɡ ɔ
egta	e ɡ t æ
egypt	e ɡ j t
ehel	e h e l
ehi	e h i
ehlubeytki	e h l u b e j t k i
ehotil	e h ɔ t i l
eiga	e i ɡ æ
eileen	e i l eː n
eilish	e i l i ʃ
eim	e i m
eimi	e i m i
eindhoven	e i n ɖ ɔ e n
einstein	e i n s t e i n
eisley	e i s l e j
ejersa	e d͡ʒ e r s æ
