aa	a a
bharatayuda	b̤ h a r a t a j u d̪̤ a
bharatayuddha	b̤ h a r a t a j u d̪̤ ɖ̤ a
bharatayudha	b̤ h a r a t a j u ɖ̤ a
bharta	b̤ h a r t a
bhat	b̤ h a t
bhatara	b̤ h a t a r a
bhatoora	b̤ h a t o o r a
bhature	b̤ h a t u r e
bhayangkara	b̤ h a j a ŋ k a r a
bhfiann	b̤ h f i a n n
bhiksu	b̤ h i k s u
bhima	b̤ h i m a
bhimabala	b̤ h i m a b̤ a l a
bhimadewa	b̤ h i m a d̪̤ e w a
bhimaratha	b̤ h i m a r a ʈ a
bhimasena	b̤ h i m a s e n a
bhinneka	b̤ h i n n e k a
bhisma	b̤ h i s m a
bhismaparura	b̤ h i s m a p a r u r a
bhismaparwa	b̤ h i s m a p a r w a
bhomakawya	b̤ h o m a k a w j a
bhomantaka	b̤ h o m a n t a k a
bhopal	b̤ h o p a l
bhramarawilambita	b̤ h r a m a r a w i l a m b̤ i t a
bhramarawilasita	b̤ h r a m a r a w i l a s i t a
bhre	b̤ h r e
bhuana	b̤ h u a n a
bhujaga	b̤ h u d͡ʒ̤ a ɡ̤ a
bhujanggapray	b̤ h u d͡ʒ̤ a ŋ ɡ̤ a p r a j
bhujia	b̤ h u d͡ʒ̤ i a
bhumibol	b̤ h u m i b̤ o l
bhurta	b̤ h u r t a
bhutan	b̤ h u t a n
bhutto	b̤ h u t t o
bhuwana	b̤ h u w a n a
bi	b̤ i
bia	b̤ i a
biak	b̤ i a k
biala	b̤ i a l a
bialobrzegi	b̤ i a l o b̤ r z e ɡ̤ i
bialogard	b̤ i a l o ɡ̤ a r d̪̤
bialy	b̤ i a l j
bialystok	b̤ i a l j s t o k
bian	b̤ i a n
biandoga	b̤ i a n d̪̤ o ɡ̤ a
biang	b̤ i a ŋ
bianpoen	b̤ i a n p o e n
biara	b̤ i a r a
biarkan	b̤ i a r k a n
biaro	b̤ i a r o
bias	b̤ i a s
biau	b̤ i a u
biaung	b̤ i a u ŋ
biauw	b̤ i a u w
biawak	b̤ i a w a k
bibibi	b̤ i b̤ i b̤ i
bibida	b̤ i b̤ i d̪̤ a
bibim	b̤ i b̤ i m
bibimbap	b̤ i b̤ i m b̤ a p
bibingka	b̤ i b̤ i ŋ k a
bibis	b̤ i b̤ i s
bibit	b̤ i b̤ i t
bibliografi	b̤ i b̤ l i o ɡ̤ r a f i
biblioth	b̤ i b̤ l i o ʈ
bibliotheca	b̤ i b̤ l i o ʈ e t͡ʃ a
bibliotik	b̤ i b̤ l i o t i k
biboki	b̤ i b̤ o k i
bicabbi	b̤ i t͡ʃ a b̤ b̤ i
bicak	b̤ i t͡ʃ a k
bicol	b̤ i t͡ʃ o l
bicorong	b̤ i t͡ʃ o r o ŋ
bid	b̤ i d̪̤
bidadari	b̤ i d̪̤ a d̪̤ a r i
bidah	b̤ i d̪̤ a h
bidang	b̤ i d̪̤ a ŋ
bidaracina	b̤ i d̪̤ a r a t͡ʃ i n a
bidengah	b̤ i d̪̤ e ŋ a h
bidhan	b̤ i ɖ̤ a n
bidhung	b̤ i ɖ̤ u ŋ
biduk	b̤ i d̪̤ u k
bidya	b̤ i d̪̤ j a
bie	b̤ i e
biecz	b̤ i e t͡ʃ z
bielawa	b̤ i e l a w a
bielsk	b̤ i e l s k
bielsko	b̤ i e l s k o
bienenstich	b̤ i e n e n s t i t͡ʃ h
bienmesabe	b̤ i e n m e s a b̤ e
bierce	b̤ i e r t͡ʃ e
bierock	b̤ i e r o t͡ʃ k
bierschinken	b̤ i e r s t͡ʃ h i n k e n
bieru	b̤ i e r u
bierut	b̤ i e r u t
bierwurst	b̤ i e r w u r s t
big	b̤ i ɡ̤
bigaran	b̤ i ɡ̤ a r a n
bigoli	b̤ i ɡ̤ o l i
bigos	b̤ i ɡ̤ o s
biha	b̤ i h a
bihac	b̤ i h a t͡ʃ
bihara	b̤ i h a r a
biih	b̤ i i h
bijeljina	b̤ i d͡ʒ̤ e l d͡ʒ̤ i n a
bijuu	b̤ i d͡ʒ̤ u u
bika	b̤ i k a
bikaneri	b̤ i k a n e r i
bikar	b̤ i k a r
bikini	b̤ i k i n i
biksu	b̤ i k s u
biksuni	b̤ i k s u n i
biku	b̤ i k u
bila	b̤ i l a
biladi	b̤ i l a d̪̤ i
bilah	b̤ i l a h
bilal	b̤ i l a l
bilangan	b̤ i l a ŋ a n
bilapora	b̤ i l a p o r a
bilaporah	b̤ i l a p o r a h
bilas	b̤ i l a s
bilb	b̤ i l b̤
bilbao	b̤ i l b̤ a o
bilbina	b̤ i l b̤ i n a
bile	b̤ i l e
bilimbi	b̤ i l i m b̤ i
bilirubin	b̤ i l i r u b̤ i n
bilis	b̤ i l i s
bilitt	b̤ i l i t t
bill	b̤ i l l
billa	b̤ i l l a
billah	b̤ i l l a h
billapora	b̤ i l l a p o r a
billie	b̤ i l l i e
billingstad	b̤ i l l i ŋ s t a d̪̤
billiton	b̤ i l l i t o n
billy	b̤ i l l j
bilo	b̤ i l o
biltong	b̤ i l t o ŋ
bilung	b̤ i l u ŋ
bilyar	b̤ i l j a r
bima	b̤ i m a
bimamartani	b̤ i m a m a r t a n i
bimareja	b̤ i m a r e d͡ʒ̤ a
bimasakti	b̤ i m a s a k t i
bimasekti	b̤ i m a s e k t i
bimbo	b̤ i m b̤ o
bimo	b̤ i m o
bin	b̤ i n
bina	b̤ i n a
binaan	b̤ i n a a n
binagol	b̤ i n a ɡ̤ o l
binagoongan	b̤ i n a ɡ̤ o o ŋ a n
binahong	b̤ i n a h o ŋ
binakal	b̤ i n a k a l
binaki	b̤ i n a k i
binalot	b̤ i n a l o t
binamu	b̤ i n a m u
binangun	b̤ i n a ŋ u n
binatantra	b̤ i n a t a n t r a
binawara	b̤ i n a w a r a
bincau	b̤ i n t͡ʃ a u
bindal	b̤ i n d̪̤ a l
bindalseidet	b̤ i n d̪̤ a l s e i d̪̤ e t
bindang	b̤ i n d̪̤ a ŋ
binde	b̤ i n d̪̤ e
binderang	b̤ i n d̪̤ e r a ŋ
bing	b̤ i ŋ
bingen	b̤ i ŋ e n
bingkeng	b̤ i ŋ k e ŋ
bingkisan	b̤ i ŋ k i s a n
bingkulu	b̤ i ŋ k u l u
bingsu	b̤ i ŋ s u
binhad	b̤ i n h a d̪̤
bini	b̤ i n i
binignit	b̤ i n i ɡ̤ n i t
biniwah	b̤ i n i w a h
binjai	b̤ i n d͡ʒ̤ a i
binju	b̤ i n d͡ʒ̤ u
binnenmaas	b̤ i n n e n m a a s
binoh	b̤ i n o h
binong	b̤ i n o ŋ
binongko	b̤ i n o ŋ k o
binorong	b̤ i n o r o ŋ
bint	b̤ i n t
bintan	b̤ i n t a n
bintang	b̤ i n t a ŋ
bintara	b̤ i n t a r a
bintaro	b̤ i n t a r o
bintauna	b̤ i n t a u n a
bintik	b̤ i n t i k
bintoro	b̤ i n t o r o
bintuni	b̤ i n t u n i
binturu	b̤ i n t u r u
binturung	b̤ i n t u r u ŋ
binuang	b̤ i n u a ŋ
binyan	b̤ i ɲ a n
biofilm	b̤ i o f i l m
biofisika	b̤ i o f i s i k a
biografi	b̤ i o ɡ̤ r a f i
bioinformatika	b̤ i o i n f o r m a t i k a
biokimia	b̤ i o k i m i a
biola	b̤ i o l a
biologi	b̤ i o l o ɡ̤ i
bioloid	b̤ i o l o i d̪̤
bioluminesensi	b̤ i o l u m i n e s e n s i
biom	b̤ i o m
bioma	b̤ i o m a
biometrika	b̤ i o m e t r i k a
biomolekul	b̤ i o m o l e k u l
bionico	b̤ i o n i t͡ʃ o
biopori	b̤ i o p o r i
bioreaktor	b̤ i o r e a k t o r
biosfer	b̤ i o s f e r
biosphere	b̤ i o s p h e r e
biostatistika	b̤ i o s t a t i s t i k a
bioteknologi	b̤ i o t e k n o l o ɡ̤ i
biotin	b̤ i o t i n
bipak	b̤ i p a k
bipasha	b̤ i p a s h a
bipolar	b̤ i p o l a r
bir	b̤ i r
bira	b̤ i r a
birawa	b̤ i r a w a
birayang	b̤ i r a j a ŋ
bird	b̤ i r d̪̤
birdman	b̤ i r d̪̤ m a n
birds	b̤ i r d̪̤ s
birdsville	b̤ i r d̪̤ s v i l l e
birdy	b̤ i r d̪̤ j
birem	b̤ i r e m
birgit	b̤ i r ɡ̤ i t
birgitta	b̤ i r ɡ̤ i t t a
biri	b̤ i r i
biring	b̤ i r i ŋ
biringbulu	b̤ i r i ŋ b̤ u l u
biristrand	b̤ i r i s t r a n d̪̤
birit	b̤ i r i t
birkeland	b̤ i r k e l a n d̪̤
birkenes	b̤ i r k e n e s
birketveit	b̤ i r k e t v e i t
birma	b̤ i r m a
birmingham	b̤ i r m i ŋ h a m
birnbrot	b̤ i r n b̤ r o t
birnen	b̤ i r n e n
biroldo	b̤ i r o l d̪̤ o
birria	b̤ i r r i a
biru	b̤ i r u
biryani	b̤ i r j a n i
bis	b̤ i s
bisbol	b̤ i s b̤ o l
bisbul	b̤ i s b̤ u l
biscocho	b̤ i s t͡ʃ o t͡ʃ h o
biscotti	b̤ i s t͡ʃ o t t i
biscuit	b̤ i s t͡ʃ u i t
bishkek	b̤ i s h k e k
bishop	b̤ i s h o p
bisi	b̤ i s i
biskop	b̤ i s k o p
biskuit	b̤ i s k u i t
biskupiec	b̤ i s k u p i e t͡ʃ
biskuwit	b̤ i s k u w i t
bislama	b̤ i s l a m a
bisma	b̤ i s m a
bismo	b̤ i s m o
bismut	b̤ i s m u t
bisnis	b̤ i s n i s
bison	b̤ i s o n
bisque	b̤ i s q u e
bissappu	b̤ i s s a p p u
bissara	b̤ i s s a r a
bissau	b̤ i s s a u
bistek	b̤ i s t e k
bisztynek	b̤ i s z t j n e k
bit	b̤ i t
bita	b̤ i t a
bitahan	b̤ i t a h a n
bitera	b̤ i t e r a
bitin	b̤ i t i n
biting	b̤ i t i ŋ
bitingan	b̤ i t i ŋ a n
bitola	b̤ i t o l a
bitsream	b̤ i t s r e a m
bitter	b̤ i t t e r
bitterballen	b̤ i t t e r b̤ a l l e n
bituang	b̤ i t u a ŋ
bitung	b̤ i t u ŋ
bivalvia	b̤ i v a l v i a
biyolah	b̤ i j o l a h
biyomon	b̤ i j o m o n
biyoskup	b̤ i j o s k u p
bizcochito	b̤ i z t͡ʃ o t͡ʃ h i t o
bizcocho	b̤ i z t͡ʃ o t͡ʃ h o
bj	b̤ d͡ʒ̤
bjerk	b̤ d͡ʒ̤ e r k
bjerka	b̤ d͡ʒ̤ e r k a
bjerkreim	b̤ d͡ʒ̤ e r k r e i m
bjerkvik	b̤ d͡ʒ̤ e r k v i k
bjoneroa	b̤ d͡ʒ̤ o n e r o a
bjorbekk	b̤ d͡ʒ̤ o r b̤ e k k
bjordal	b̤ d͡ʒ̤ o r d̪̤ a l
bjorli	b̤ d͡ʒ̤ o r l i
bk	b̤ k
bkan	b̤ k a n
bkkbn	b̤ k k b̤ n
bkl	b̤ k l
bl	b̤ l
blaa	b̤ l a a
blaba	b̤ l a b̤ a
blabag	b̤ l a b̤ a ɡ̤
blabak	b̤ l a b̤ a k
blaban	b̤ l a b̤ a n
blacan	b̤ l a t͡ʃ a n
blacanan	b̤ l a t͡ʃ a n a n
blachownia	b̤ l a t͡ʃ h o w n i a
black	b̤ l a t͡ʃ k
blackberry	b̤ l a t͡ʃ k b̤ e r r j
blackburn	b̤ l a t͡ʃ k b̤ u r n
blackett	b̤ l a t͡ʃ k e t t
blackkklansman	b̤ l a t͡ʃ k k k l a n s m a n
blacklight	b̤ l a t͡ʃ k l i ɡ̤ h t
blade	b̤ l a d̪̤ e
bladel	b̤ l a d̪̤ e l
bladho	b̤ l a ɖ̤ o
blado	b̤ l a d̪̤ o
blagung	b̤ l a ɡ̤ u ŋ
blahbatuh	b̤ l a h b̤ a t u h
blahkiuh	b̤ l a h k i u h
blair	b̤ l a i r
blaise	b̤ l a i s e
blajo	b̤ l a d͡ʒ̤ o
blaker	b̤ l a k e r
blakstad	b̤ l a k s t a d̪̤
blambangan	b̤ l a m b̤ a ŋ a n
blanakan	b̤ l a n a k a n
blanceran	b̤ l a n t͡ʃ e r a n
blanch	b̤ l a n t͡ʃ h
blanciran	b̤ l a n t͡ʃ i r a n
blancmange	b̤ l a n t͡ʃ m a ŋ e
blandar	b̤ l a n d̪̤ a r
blandhong	b̤ l a n ɖ̤ o ŋ
blandhongan	b̤ l a n ɖ̤ o ŋ a n
blandong	b̤ l a n d̪̤ o ŋ
blandongan	b̤ l a n d̪̤ o ŋ a n
blang	b̤ l a ŋ
blanggur	b̤ l a ŋ ɡ̤ u r
blangkas	b̤ l a ŋ k a s
blangkon	b̤ l a ŋ k o n
blangu	b̤ l a ŋ u
blankon	b̤ l a n k o n
blanquette	b̤ l a n q u e t t e
blarer	b̤ l a r e r
blaricum	b̤ l a r i t͡ʃ u m
blaru	b̤ l a r u
blasius	b̤ l a s i u s
blater	b̤ l a t e r
blateran	b̤ l a t e r a n
blawe	b̤ l a w e
blawi	b̤ l a w i
blayu	b̤ l a j u
bleach	b̤ l e a t͡ʃ h
bleak	b̤ l e a k
bleber	b̤ l e b̤ e r
bleberan	b̤ l e b̤ e r a n
bleboh	b̤ l e b̤ o h
bledag	b̤ l e d̪̤ a ɡ̤
blederan	b̤ l e d̪̤ e r a n
bledh	b̤ l e ɖ̤
bledhek	b̤ l e ɖ̤ e k
bledhosan	b̤ l e ɖ̤ o s a n
bledhug	b̤ l e ɖ̤ u ɡ̤
bledug	b̤ l e d̪̤ u ɡ̤
blega	b̤ l e ɡ̤ a
blegaoloh	b̤ l e ɡ̤ a o l o h
bleger	b̤ l e ɡ̤ e r
blegudreg	b̤ l e ɡ̤ u d̪̤ r e ɡ̤
bleik	b̤ l e i k
bleiken	b̤ l e i k e n
bleikvasslia	b̤ l e i k v a s s l i a
blekatuk	b̤ l e k a t u k
bleketepe	b̤ l e k e t e p e
blekok	b̤ l e k o k
blembem	b̤ l e m b̤ e m
blencong	b̤ l e n t͡ʃ o ŋ
blender	b̤ l e n d̪̤ e r
blendhung	b̤ l e n ɖ̤ u ŋ
blendung	b̤ l e n d̪̤ u ŋ
blengorkulon	b̤ l e ŋ o r k u l o n
blengorw	b̤ l e ŋ o r w
blengorwetan	b̤ l e ŋ o r w e t a n
blerong	b̤ l e r o ŋ
blethok	b̤ l e ʈ o k
bleu	b̤ l e u
blewah	b̤ l e w a h
bligo	b̤ l i ɡ̤ o
bligoreja	b̤ l i ɡ̤ o r e d͡ʒ̤ a
bligorejo	b̤ l i ɡ̤ o r e d͡ʒ̤ o
blikberget	b̤ l i k b̤ e r ɡ̤ e t
bliksv	b̤ l i k s v
blilu	b̤ l i l u
blimbing	b̤ l i m b̤ i ŋ
blimbinggedh	b̤ l i m b̤ i ŋ ɡ̤ e ɖ̤
blimbingreja	b̤ l i m b̤ i ŋ r e d͡ʒ̤ a
blimbingrejo	b̤ l i m b̤ i ŋ r e d͡ʒ̤ o
blimbingsari	b̤ l i m b̤ i ŋ s a r i
blind	b̤ l i n d̪̤
blindungan	b̤ l i n d̪̤ u ŋ a n
blingijati	b̤ l i ŋ i d͡ʒ̤ a t i
blingoh	b̤ l i ŋ o h
blini	b̤ l i n i
blink	b̤ l i n k
blinky	b̤ l i n k j
blitar	b̤ l i t a r
blitaran	b̤ l i t a r a n
bliu	b̤ l i u
blockchain	b̤ l o t͡ʃ k t͡ʃ h a i n
blodpl	b̤ l o d̪̤ p l
bloeds	b̤ l o e d̪̤ s
bloemendaal	b̤ l o e m e n d̪̤ a a l
bloemfontein	b̤ l o e m f o n t e i n
blog	b̤ l o ɡ̤
bloger	b̤ l o ɡ̤ e r
blogger	b̤ l o ɡ̤ ɡ̤ e r
blok	b̤ l o k
blokken	b̤ l o k k e n
blommenholm	b̤ l o m m e n h o l m
blomsterdalen	b̤ l o m s t e r d̪̤ a l e n
blomv	b̤ l o m v
blonc	b̤ l o n t͡ʃ
blonceng	b̤ l o n t͡ʃ e ŋ
blondho	b̤ l o n ɖ̤ o
blongk	b̤ l o ŋ k
blongkeng	b̤ l o ŋ k e ŋ
blongsong	b̤ l o ŋ s o ŋ
blood	b̤ l o o d̪̤
bloody	b̤ l o o d̪̤ j
bloomberg	b̤ l o o m b̤ e r ɡ̤
blora	b̤ l o r a
blorok	b̤ l o r o k
blorong	b̤ l o r o ŋ
blotongan	b̤ l o t o ŋ a n
blt	b̤ l t
blu	b̤ l u
blub	b̤ l u b̤
blubuk	b̤ l u b̤ u k
bludreg	b̤ l u d̪̤ r e ɡ̤
bludrek	b̤ l u d̪̤ r e k
blue	b̤ l u e
blues	b̤ l u e s
bluluk	b̤ l u l u k
blulukan	b̤ l u l u k a n
blumah	b̤ l u m a h
blumbang	b̤ l u m b̤ a ŋ
blumbangreja	b̤ l u m b̤ a ŋ r e d͡ʒ̤ a
blumbangrejo	b̤ l u m b̤ a ŋ r e d͡ʒ̤ o
blumbungan	b̤ l u m b̤ u ŋ a n
blume	b̤ l u m e
blungun	b̤ l u ŋ u n
bluru	b̤ l u r u
blustun	b̤ l u s t u n
bluto	b̤ l u t o
blylaget	b̤ l j l a ɡ̤ e t
blystadlia	b̤ l j s t a d̪̤ l i a
blythe	b̤ l j ʈ e
bmi	b̤ m i
bms	b̤ m s
bmw	b̤ m w
bn	b̤ n
bnf	b̤ n f
bo	b̤ o
boa	b̤ o a
boalemo	b̤ o a l e m o
boarnsterhim	b̤ o a r n s t e r h i m
boawae	b̤ o a w a e
boaz	b̤ o a z
bob	b̤ o b̤
bobang	b̤ o b̤ a ŋ
bobby	b̤ o b̤ b̤ j
bobo	b̤ o b̤ o
boboh	b̤ o b̤ o h
bobol	b̤ o b̤ o l
bobolice	b̤ o b̤ o l i t͡ʃ e
bobos	b̤ o b̤ o s
bobosan	b̤ o b̤ o s a n
bobot	b̤ o b̤ o t
bobotie	b̤ o b̤ o t i e
bobotsari	b̤ o b̤ o t s a r i
bocadillo	b̤ o t͡ʃ a d̪̤ i l l o
bocah	b̤ o t͡ʃ a h
bocconotto	b̤ o t͡ʃ t͡ʃ o n o t t o
bochnia	b̤ o t͡ʃ h n i a
bochotnica	b̤ o t͡ʃ h o t n i t͡ʃ a
bock	b̤ o t͡ʃ k
bockwurst	b̤ o t͡ʃ k w u r s t
bocok	b̤ o t͡ʃ o k
bocor	b̤ o t͡ʃ o r
bocoran	b̤ o t͡ʃ o r a n
bod	b̤ o d̪̤
bodas	b̤ o d̪̤ a s
bodegraven	b̤ o d̪̤ e ɡ̤ r a v e n
bodeh	b̤ o d̪̤ e h
bodh	b̤ o ɖ̤
bodhag	b̤ o ɖ̤ a ɡ̤
bodhi	b̤ o ɖ̤ i
bodin	b̤ o d̪̤ i n
bodong	b̤ o d̪̤ o ŋ
bodung	b̤ o d̪̤ u ŋ
bodzentyn	b̤ o d̪̤ z e n t j n
boe	b̤ o e
boeara	b̤ o e a r a
boeber	b̤ o e b̤ e r
boedi	b̤ o e d̪̤ i
boediono	b̤ o e d̪̤ i o n o
boeing	b̤ o e i ŋ
boekel	b̤ o e k e l
boenga	b̤ o e ŋ a
boepinang	b̤ o e p i n a ŋ
boerewors	b̤ o e r e w o r s
bogangin	b̤ o ɡ̤ a ŋ i n
bogar	b̤ o ɡ̤ a r
bogares	b̤ o ɡ̤ a r e s
bogatynia	b̤ o ɡ̤ a t j n i a
bogem	b̤ o ɡ̤ e m
bogen	b̤ o ɡ̤ e n
boggestranda	b̤ o ɡ̤ ɡ̤ e s t r a n d̪̤ a
bogo	b̤ o ɡ̤ o
bogobabadan	b̤ o ɡ̤ o b̤ a b̤ a d̪̤ a n
bogoboida	b̤ o ɡ̤ o b̤ o i d̪̤ a
bogoharja	b̤ o ɡ̤ o h a r d͡ʒ̤ a
bogor	b̤ o ɡ̤ o r
bogorame	b̤ o ɡ̤ o r a m e
bogoran	b̤ o ɡ̤ o r a n
bogoreja	b̤ o ɡ̤ o r e d͡ʒ̤ a
bogorejo	b̤ o ɡ̤ o r e d͡ʒ̤ o
bogosari	b̤ o ɡ̤ o s a r i
bogot	b̤ o ɡ̤ o t
bogotanjung	b̤ o ɡ̤ o t a n d͡ʒ̤ u ŋ
bogowanti	b̤ o ɡ̤ o w a n t i
bogusz	b̤ o ɡ̤ u s z
boh	b̤ o h
bohemian	b̤ o h e m i a n
bohnen	b̤ o h n e n
bohol	b̤ o h o l
bohorok	b̤ o h o r o k
bohotin	b̤ o h o t i n
bohrium	b̤ o h r i u m
boileau	b̤ o i l e a u
bois	b̤ o i s
boja	b̤ o d͡ʒ̤ a
bojanegara	b̤ o d͡ʒ̤ a n e ɡ̤ a r a
bojanowo	b̤ o d͡ʒ̤ a n o w o
bojasari	b̤ o d͡ʒ̤ a s a r i
bojo	b̤ o d͡ʒ̤ o
bojog	b̤ o d͡ʒ̤ o ɡ̤
bojonegara	b̤ o d͡ʒ̤ o n e ɡ̤ a r a
bojonegoro	b̤ o d͡ʒ̤ o n e ɡ̤ o r o
bojong	b̤ o d͡ʒ̤ o ŋ
bojongasih	b̤ o d͡ʒ̤ o ŋ a s i h
bojongbata	b̤ o d͡ʒ̤ o ŋ b̤ a t a
bojonggambir	b̤ o d͡ʒ̤ o ŋ ɡ̤ a m b̤ i r
bojonggebang	b̤ o d͡ʒ̤ o ŋ ɡ̤ e b̤ a ŋ
bojonggede	b̤ o d͡ʒ̤ o ŋ ɡ̤ e d̪̤ e
bojonggedh	b̤ o d͡ʒ̤ o ŋ ɡ̤ e ɖ̤
bojongkoneng	b̤ o d͡ʒ̤ o ŋ k o n e ŋ
bojongloa	b̤ o d͡ʒ̤ o ŋ l o a
bojonglor	b̤ o d͡ʒ̤ o ŋ l o r
bojongmanggu	b̤ o d͡ʒ̤ o ŋ m a ŋ ɡ̤ u
bojongmanik	b̤ o d͡ʒ̤ o ŋ m a n i k
bojongmenje	b̤ o d͡ʒ̤ o ŋ m e n d͡ʒ̤ e
bojongmenteng	b̤ o d͡ʒ̤ o ŋ m e n t e ŋ
bojongnangka	b̤ o d͡ʒ̤ o ŋ n a ŋ k a
bojongnegara	b̤ o d͡ʒ̤ o ŋ n e ɡ̤ a r a
bojongpicung	b̤ o d͡ʒ̤ o ŋ p i t͡ʃ u ŋ
bojongsalaman	b̤ o d͡ʒ̤ o ŋ s a l a m a n
bojongsana	b̤ o d͡ʒ̤ o ŋ s a n a
bojongsari	b̤ o d͡ʒ̤ o ŋ s a r i
bojongsoang	b̤ o d͡ʒ̤ o ŋ s o a ŋ
bokan	b̤ o k a n
bokat	b̤ o k a t
boking	b̤ o k i ŋ
bokir	b̤ o k i r
bokkeum	b̤ o k k e u m
bokn	b̤ o k n
bokok	b̤ o k o k
bokol	b̤ o k o l
bokondini	b̤ o k o n d̪̤ i n i
bokong	b̤ o k o ŋ
bokor	b̤ o k o r
boksit	b̤ o k s i t
boku	b̤ o k u
bol	b̤ o l
bola	b̤ o l a
bolaang	b̤ o l a a ŋ
bolah	b̤ o l a h
bolakma	b̤ o l a k m a
bolali	b̤ o l a l i
bolang	b̤ o l a ŋ
bolango	b̤ o l a ŋ o
bolani	b̤ o l a n i
bolano	b̤ o l a n o
boles	b̤ o l e s
boleslaw	b̤ o l e s l a w
bolga	b̤ o l ɡ̤ a
bolger	b̤ o l ɡ̤ e r
bolich	b̤ o l i t͡ʃ h
bolillo	b̤ o l i l l o
boling	b̤ o l i ŋ
bolinho	b̤ o l i n h o
bolinhos	b̤ o l i n h o s
bolivia	b̤ o l i v i a
bolivianos	b̤ o l i v i a n o s
boliyohuto	b̤ o l i j o h u t o
bolk	b̤ o l k
bolke	b̤ o l k e
bolkenhain	b̤ o l k e n h a i n
bolkow	b̤ o l k o w
bollo	b̤ o l l o
bolo	b̤ o l o
boloagung	b̤ o l o a ɡ̤ u ŋ
bologarang	b̤ o l o ɡ̤ a r a ŋ
bologna	b̤ o l o ɡ̤ n a
boloh	b̤ o l o h
bolon	b̤ o l o n
bolong	b̤ o l o ŋ
bolongan	b̤ o l o ŋ a n
bolot	b̤ o l o t
bolstad	b̤ o l s t a d̪̤
bolsward	b̤ o l s w a r d̪̤
bolu	b̤ o l u
bom	b̤ o m
boma	b̤ o m a
bomakia	b̤ o m a k i a
bomanarakasura	b̤ o m a n a r a k a s u r a
bomannsvik	b̤ o m a n n s v i k
bomantara	b̤ o m a n t a r a
bomb	b̤ o m b̤
bomba	b̤ o m b̤ a
bombana	b̤ o m b̤ a n a
bombardier	b̤ o m b̤ a r d̪̤ i e r
bombay	b̤ o m b̤ a j
bombe	b̤ o m b̤ e
bomboloni	b̤ o m b̤ o l o n i
bon	b̤ o n
bona	b̤ o n a
bonagung	b̤ o n a ɡ̤ u ŋ
bonai	b̤ o n a i
bonakas	b̤ o n a k a s
bonang	b̤ o n a ŋ
bonangreja	b̤ o n a ŋ r e d͡ʒ̤ a
bonangrejo	b̤ o n a ŋ r e d͡ʒ̤ o
bonaparte	b̤ o n a p a r t e
bonari	b̤ o n a r i
bonbon	b̤ o n b̤ o n
boncis	b̤ o n t͡ʃ i s
bond	b̤ o n d̪̤
bonda	b̤ o n d̪̤ a
bondalem	b̤ o n d̪̤ a l e m
bondan	b̤ o n d̪̤ a n
bondansari	b̤ o n d̪̤ a n s a r i
bondhansari	b̤ o n ɖ̤ a n s a r i
bondho	b̤ o n ɖ̤ o
bondo	b̤ o n d̪̤ o
bondoala	b̤ o n d̪̤ o a l a
bondol	b̤ o n d̪̤ o l
bondolharjo	b̤ o n d̪̤ o l h a r d͡ʒ̤ o
bondowoso	b̤ o n d̪̤ o w o s o
bone	b̤ o n e
bonea	b̤ o n e a
bonegunu	b̤ o n e ɡ̤ u n u
bonehau	b̤ o n e h a u
bonek	b̤ o n e k
boneka	b̤ o n e k a
bonepantai	b̤ o n e p a n t a i
boneraya	b̤ o n e r a j a
bones	b̤ o n e s
bonfim	b̤ o n f i m
bonfire	b̤ o n f i r e
bongan	b̤ o ŋ a n
bongancina	b̤ o ŋ a n t͡ʃ i n a
bongas	b̤ o ŋ a s
bonggakaradeng	b̤ o ŋ ɡ̤ a k a r a d̪̤ e ŋ
bonggalpati	b̤ o ŋ ɡ̤ a l p a t i
bonggo	b̤ o ŋ ɡ̤ o
bonggol	b̤ o ŋ ɡ̤ o l
bonggolan	b̤ o ŋ ɡ̤ o l a n
bongkang	b̤ o ŋ k a ŋ
bongkasa	b̤ o ŋ k a s a
bongkel	b̤ o ŋ k e l
bongko	b̤ o ŋ k o
bongkok	b̤ o ŋ k o k
bongkot	b̤ o ŋ k o t
bongomeme	b̤ o ŋ o m e m e
bongsari	b̤ o ŋ s a r i
bongsu	b̤ o ŋ s u
bonifacius	b̤ o n i f a t͡ʃ i u s
bonjok	b̤ o n d͡ʒ̤ o k
bonjokkidul	b̤ o n d͡ʒ̤ o k k i d̪̤ u l
bonjoklor	b̤ o n d͡ʒ̤ o k l o r
bonjol	b̤ o n d͡ʒ̤ o l
bonjor	b̤ o n d͡ʒ̤ o r
bonn	b̤ o n n
bonnie	b̤ o n n i e
bono	b̤ o n o
bonobo	b̤ o n o b̤ o
bonorowo	b̤ o n o r o w o
bonosari	b̤ o n o s a r i
bonsai	b̤ o n s a i
bontang	b̤ o n t a ŋ
bontihing	b̤ o n t i h i ŋ
bonto	b̤ o n t o
bontoala	b̤ o n t o a l a
bontocani	b̤ o n t o t͡ʃ a n i
bontoharu	b̤ o n t o h a r u
bontolempangan	b̤ o n t o l e m p a ŋ a n
bontomanai	b̤ o n t o m a n a i
bontomarannu	b̤ o n t o m a r a n n u
bontomatene	b̤ o n t o m a t e n e
bontonompo	b̤ o n t o n o m p o
bontoramba	b̤ o n t o r a m b̤ a
bontosikuyu	b̤ o n t o s i k u j u
bontotiro	b̤ o n t o t i r o
bonyoh	b̤ o ɲ o h
